METER_NUMBER,METER_NAME,MEASURED_HOUR,MEASURED_DAY,MEASURED_VOLUME,USER_FIELD1,USER_FIELD2
90136699,HORDERN A 4H,2019120121,'2019-12-01 00:00:00',20.9640007019043,ETX,STATE
90136699,HORDERN A 4H,2019120122,'2019-12-01 00:00:00',21.1480007171631,ETX,STATE
90136699,HORDERN A 4H,2019120123,'2019-12-01 00:00:00',20.9340000152588,ETX,STATE
90136699,HORDERN A 4H,2019120109,'2019-12-01 00:00:00',21.1509990692139,ETX,STATE
90136699,HORDERN A 4H,2019120110,'2019-12-01 00:00:00',21.5470008850098,ETX,STATE
90136699,HORDERN A 4H,2019120111,'2019-12-01 00:00:00',21.3279991149902,ETX,STATE
90136699,HORDERN A 4H,2019120112,'2019-12-01 00:00:00',21.3239994049072,ETX,STATE
90136699,HORDERN A 4H,2019120116,'2019-12-01 00:00:00',20.7999992370605,ETX,STATE
90136699,HORDERN A 4H,2019120117,'2019-12-01 00:00:00',21.1100006103516,ETX,STATE
90136699,HORDERN A 4H,2019120118,'2019-12-01 00:00:00',20.9500007629395,ETX,STATE
90136699,HORDERN A 4H,2019120119,'2019-12-01 00:00:00',21.048999786377,ETX,STATE
90136699,HORDERN A 4H,2019120120,'2019-12-01 00:00:00',21.0559997558594,ETX,STATE
90136699,HORDERN A 4H,2019120102,'2019-12-01 00:00:00',21.5300006866455,ETX,STATE
90136699,HORDERN A 4H,2019120113,'2019-12-01 00:00:00',21.2590007781982,ETX,STATE
90136699,HORDERN A 4H,2019120114,'2019-12-01 00:00:00',21.0340003967285,ETX,STATE
90136699,HORDERN A 4H,2019120115,'2019-12-01 00:00:00',21.4839992523193,ETX,STATE
90136699,HORDERN A 4H,2019120100,'2019-12-01 00:00:00',21.4069995880127,ETX,STATE
90136699,HORDERN A 4H,2019120101,'2019-12-01 00:00:00',21.3729991912842,ETX,STATE
90136699,HORDERN A 4H,2019120103,'2019-12-01 00:00:00',21.2660007476807,ETX,STATE
90136699,HORDERN A 4H,2019120107,'2019-12-01 00:00:00',21.8980007171631,ETX,STATE
90136699,HORDERN A 4H,2019120104,'2019-12-01 00:00:00',21.2479991912842,ETX,STATE
90136699,HORDERN A 4H,2019120105,'2019-12-01 00:00:00',21.1509990692139,ETX,STATE
90136699,HORDERN A 4H,2019120106,'2019-12-01 00:00:00',21.7520008087158,ETX,STATE
90136699,HORDERN A 4H,2019120108,'2019-12-01 00:00:00',21.6800003051758,ETX,STATE
90136699,HORDERN A 4H,2019120200,'2019-12-02 00:00:00',20.8899993896484,ETX,STATE
90136697,JFS TIMBER 1H,2019120106,'2019-12-01 00:00:00',16.0610008239746,ETX,STATE
90136697,JFS TIMBER 1H,2019120103,'2019-12-01 00:00:00',16.2889995574951,ETX,STATE
90136697,JFS TIMBER 1H,2019120104,'2019-12-01 00:00:00',16.4220008850098,ETX,STATE
90136697,JFS TIMBER 1H,2019120105,'2019-12-01 00:00:00',15.8520002365112,ETX,STATE
90136697,JFS TIMBER 1H,2019120107,'2019-12-01 00:00:00',15.5719995498657,ETX,STATE
90136697,JFS TIMBER 1H,2019120111,'2019-12-01 00:00:00',15.2880001068115,ETX,STATE
90136697,JFS TIMBER 1H,2019120108,'2019-12-01 00:00:00',15.5209999084473,ETX,STATE
90136697,JFS TIMBER 1H,2019120109,'2019-12-01 00:00:00',15.1809997558594,ETX,STATE
90136697,JFS TIMBER 1H,2019120110,'2019-12-01 00:00:00',15.5970001220703,ETX,STATE
90136697,JFS TIMBER 1H,2019120115,'2019-12-01 00:00:00',16.2280006408691,ETX,STATE
90136697,JFS TIMBER 1H,2019120112,'2019-12-01 00:00:00',15.6730003356934,ETX,STATE
90136697,JFS TIMBER 1H,2019120113,'2019-12-01 00:00:00',16.5179996490479,ETX,STATE
90136697,JFS TIMBER 1H,2019120114,'2019-12-01 00:00:00',16.5279998779297,ETX,STATE
90136697,JFS TIMBER 1H,2019120116,'2019-12-01 00:00:00',16.8190002441406,ETX,STATE
90136697,JFS TIMBER 1H,2019120120,'2019-12-01 00:00:00',14.7799997329712,ETX,STATE
90136697,JFS TIMBER 1H,2019120117,'2019-12-01 00:00:00',15.3479995727539,ETX,STATE
90136697,JFS TIMBER 1H,2019120118,'2019-12-01 00:00:00',14.8640003204346,ETX,STATE
