METER_NUMBER,METER_NAME,MEASURED_HOUR,MEASURED_DAY,MEASURED_VOLUME,USER_FIELD1,USER_FIELD2
10136295,Bath A GU 1,2019120711,'2019-12-07 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019120712,'2019-12-07 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019120713,'2019-12-07 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019120714,'2019-12-07 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019120715,'2019-12-07 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019120716,'2019-12-07 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019120717,'2019-12-07 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019120718,'2019-12-07 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019120719,'2019-12-07 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019120720,'2019-12-07 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019120721,'2019-12-07 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019120722,'2019-12-07 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019120723,'2019-12-07 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019120706,'2019-12-07 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019120701,'2019-12-07 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019120702,'2019-12-07 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019120703,'2019-12-07 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019120704,'2019-12-07 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019120705,'2019-12-07 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019120710,'2019-12-07 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019120707,'2019-12-07 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019120708,'2019-12-07 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019120709,'2019-12-07 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019120800,'2019-12-08 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019120715,'2019-12-07 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019120700,'2019-12-07 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019120711,'2019-12-07 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019120712,'2019-12-07 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019120713,'2019-12-07 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019120714,'2019-12-07 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019120719,'2019-12-07 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019120716,'2019-12-07 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019120717,'2019-12-07 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019120718,'2019-12-07 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019120720,'2019-12-07 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019120710,'2019-12-07 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019120721,'2019-12-07 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019120722,'2019-12-07 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019120723,'2019-12-07 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019120708,'2019-12-07 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019120709,'2019-12-07 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019120706,'2019-12-07 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019120701,'2019-12-07 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019120702,'2019-12-07 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019120703,'2019-12-07 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019120704,'2019-12-07 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019120705,'2019-12-07 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019120707,'2019-12-07 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019120800,'2019-12-08 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019120700,'2019-12-07 00:00:00',0,ETX,STATE
90004,BLANKENSHIP THRU GAS,2019120712,'2019-12-07 00:00:00',26.6862258911133,ETX,STATE
90004,BLANKENSHIP THRU GAS,2019120713,'2019-12-07 00:00:00',26.6862258911133,ETX,STATE
90004,BLANKENSHIP THRU GAS,2019120714,'2019-12-07 00:00:00',26.6862258911133,ETX,STATE
90004,BLANKENSHIP THRU GAS,2019120711,'2019-12-07 00:00:00',26.6862258911133,ETX,STATE
90004,BLANKENSHIP THRU GAS,2019120715,'2019-12-07 00:00:00',26.6862258911133,ETX,STATE
90004,BLANKENSHIP THRU GAS,2019120716,'2019-12-07 00:00:00',26.6862258911133,ETX,STATE
90004,BLANKENSHIP THRU GAS,2019120717,'2019-12-07 00:00:00',26.6862258911133,ETX,STATE
90004,BLANKENSHIP THRU GAS,2019120718,'2019-12-07 00:00:00',26.6862258911133,ETX,STATE
90004,BLANKENSHIP THRU GAS,2019120719,'2019-12-07 00:00:00',26.6862258911133,ETX,STATE
90004,BLANKENSHIP THRU GAS,2019120720,'2019-12-07 00:00:00',26.1006107330322,ETX,STATE
90004,BLANKENSHIP THRU GAS,2019120700,'2019-12-07 00:00:00',24.9219697435697,ETX,STATE
90004,BLANKENSHIP THRU GAS,2019120701,'2019-12-07 00:00:00',24.9219697435697,ETX,STATE
90004,BLANKENSHIP THRU GAS,2019120702,'2019-12-07 00:00:00',24.9219697435697,ETX,STATE
90004,BLANKENSHIP THRU GAS,2019120703,'2019-12-07 00:00:00',24.9219697435697,ETX,STATE
90004,BLANKENSHIP THRU GAS,2019120704,'2019-12-07 00:00:00',24.9219697435697,ETX,STATE
