METER_NUMBER,METER_NAME,MEASURED_HOUR,MEASURED_DAY,MEASURED_VOLUME,USER_FIELD1,USER_FIELD2
10136295,Bath A GU 1,2019122711,'2019-12-27 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019122712,'2019-12-27 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019122713,'2019-12-27 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019122714,'2019-12-27 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019122715,'2019-12-27 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019122716,'2019-12-27 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019122717,'2019-12-27 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019122718,'2019-12-27 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019122719,'2019-12-27 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019122720,'2019-12-27 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019122721,'2019-12-27 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019122722,'2019-12-27 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019122723,'2019-12-27 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019122706,'2019-12-27 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019122701,'2019-12-27 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019122702,'2019-12-27 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019122703,'2019-12-27 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019122704,'2019-12-27 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019122705,'2019-12-27 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019122707,'2019-12-27 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019122708,'2019-12-27 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019122800,'2019-12-28 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019122706,'2019-12-27 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019122707,'2019-12-27 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019122708,'2019-12-27 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019122709,'2019-12-27 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019122710,'2019-12-27 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019122714,'2019-12-27 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019122709,'2019-12-27 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019122710,'2019-12-27 00:00:00',0,ETX,STATE
10136295,Bath A GU 1,2019122700,'2019-12-27 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019122701,'2019-12-27 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019122702,'2019-12-27 00:00:00',32.8950843811035,ETX,STATE
10136296,Bath B GU 1,2019122703,'2019-12-27 00:00:00',29.2437438964844,ETX,STATE
10136296,Bath B GU 1,2019122704,'2019-12-27 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019122705,'2019-12-27 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019122711,'2019-12-27 00:00:00',11.1777677536011,ETX,STATE
10136296,Bath B GU 1,2019122712,'2019-12-27 00:00:00',22.6521549224854,ETX,STATE
10136296,Bath B GU 1,2019122713,'2019-12-27 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019122715,'2019-12-27 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019122719,'2019-12-27 00:00:00',5.36492156982422,ETX,STATE
10136296,Bath B GU 1,2019122716,'2019-12-27 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019122717,'2019-12-27 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019122718,'2019-12-27 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019122720,'2019-12-27 00:00:00',25.1552982330322,ETX,STATE
10136296,Bath B GU 1,2019122721,'2019-12-27 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019122722,'2019-12-27 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019122723,'2019-12-27 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019122800,'2019-12-28 00:00:00',0,ETX,STATE
10136296,Bath B GU 1,2019122700,'2019-12-27 00:00:00',0,ETX,STATE
90004,BLANKENSHIP THRU GAS,2019122708,'2019-12-27 00:00:00',23.2911434173584,ETX,STATE
90004,BLANKENSHIP THRU GAS,2019122709,'2019-12-27 00:00:00',26.6862258911133,ETX,STATE
90004,BLANKENSHIP THRU GAS,2019122711,'2019-12-27 00:00:00',26.6862258911133,ETX,STATE
90004,BLANKENSHIP THRU GAS,2019122715,'2019-12-27 00:00:00',26.6862258911133,ETX,STATE
